club,handle,status,post_date,post_timestamp,likes,comments,reposts,collaborators,collab_count,caption,severity,post_url,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-10-03,2024-10-03T22:57:41+00:00,76,2,0,"culigafilipina, asacolumbia, chicane.caucus, minkwoncenter, columbiabso, apavoicenewyork, shapingherearth_columbia, columbia.aaa",8,"PROJECT 2025 TEACH-IN ⭐️ 📢 Join us next Sunday (10/13) from 2-4 PM to learn about Project 2025’s proposals on immigration, climate change, LGBTQ+ rights, reproductive rights, and labor issues. Your voice matters—let’s make informed choices this election year! Please register for this free event.    📍Math 207 (Oct 13, 2-4pm)  🔗 RSVP here: htt",0,https://www.instagram.com/p/DArfix1OCOA/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-09-27,2024-09-27T17:40:02+00:00,54,0,0,"barnardboss, adg.columbia, cueesa, ijoyacu, columbia.ssa, asacolumbia, Edited",7,"Join us this Monday in discussing How To Embrace African culture at Barnumbia! Our special guests include members from ADG, BOSS, EESA, SSA, Ijoya, and more! Bring your friends and we can’t wait to see you there⭐️ No comments yet. Start the conversation. 54 September 27, 2024 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite M",0,https://www.instagram.com/p/DAbeWXHOXw8/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-10-04,2024-10-04T01:25:31+00:00,27,0,0,asacolumbia,1,"JOIN US next Monday for the best game show of the entire year! 🌟   ASA Family Feud is on!  Get ready for the fun Africa-themed trivia to win amazing prizes!! Can’t wait to see you there! No comments yet. Start the conversation. 27 October 3, 2024 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština",0,https://www.instagram.com/p/DArwdh9OIOo/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2025-11-30,2025-11-30T20:45:35+00:00,24,0,0,"asacolumbia, School, of, International, Public, Affairs, Columbia, University",8,"come join asa for our bi-annual political roundtable taking place on tuesday dec 2!   we will be discussing african migration and africa’s role in harlem and beyond. food and refreshments will be provided. No comments yet. Start the conversation. 24 November 30, 2025 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI",0,https://www.instagram.com/p/DRscrX4CSs5/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,,,,,,,0,3 thematumbilas 4 people Follow You heard Hashim! The Matumbilas screening happening this Monday at Columbia University in Lerner Cinema! And someone please give them the subway apps 🚊 📺 … more Likes 5 im.a.s.o.n otlatnight Follow Do you agree?? #harvard #texas #collegefootball #collegestudents … more 885 42 7 thematumbilas 4 people Follow You heard Hashim! The Matumbilas screening happening this Monday at Columbia University in Lerner Cinema! And someone please give them the subway apps 🚊 📺 … m,0,https://www.instagram.com/reel/C28Lsfxp6aL/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2025-10-26,2025-10-26T17:02:38+00:00,9,0,0,asacolumbia,1,"Make sure you’re staying in the loop with ASA‼️ Sign up for our newsletter to get updates on events, collabs, and opportunities. Scan the QR code or click the link in our bio to join ✨ No comments yet. Start the conversation. 9 October 26, 2025 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština D",0,https://www.instagram.com/p/DQR7VxmDo5x/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2025-02-16,2025-02-16T02:33:57+00:00,18,0,0,asacolumbia,1,"in the spirit of Valentine’s Day, we invite you to meet new people and make meaningful connections at our Speed Friending event💕♥️ see you there No comments yet. Start the conversation. 18 February 15, 2025 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English",0,https://www.instagram.com/p/DGHfm5ftcRC/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2025-11-04,2025-11-04T19:37:26+00:00,34,1,0,"asacolumbia, New, York",3,"Afrobeats to the World is coming to NYC this Saturday‼️ Use our code ATTWFAM5 for discounted tickets to one of the best Afrobeats parties in the city. You don’t want to miss it! No comments yet. Start the conversation. 34 1 November 4, 2025 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans ال",0,https://www.instagram.com/p/DQpYNgVCTE5/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2026-02-03,2026-02-03T04:10:56+00:00,87,1,1,"asacolumbia, columbiabso, barnardboss, csacolumbia, hsacolumbia, columbiabhm",6,"Happy BHM Y’all! We’ll be providing more updates throughout the month, but here’s a peek at some of the events our wonderful Black Orgs will be hosting this month‼️ pa_lante_leaders   9w We’re hosting an event on February 22 with black student organizations from around the country! Hope to see some CU students there 🩵🦁 Reply 87 1 1 February 2 More posts from columbiabhm Meta About Blog Jobs H",0,https://www.instagram.com/p/DUSChJpDZZ2/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,,,,,,,0,3 jasmineyourmoneyfriend Follow still kind of love this #budgeting #budgeting101 #genz #personalfinance #money101 … more 67 4 angeladoesntcareanymore Michael Sembello · Maniac (Flashdance Version) (Re-Recorded / Remastered)   Michael Sembello · Maniac (Flashdance Version) (Re-Recorded / Remastered)   Follow No further arguments your Honor ⚖️ … more 57 12 2 _kateoliver Rayelle · Mona Lisa   Rayelle · Mona Lisa   Follow Only girls will notice🤭 Likes 59 48 amanda.muse katehudson Follow she is SO sw,0,https://www.instagram.com/reel/nW2SM5k5bB/,,,,,,,,,,,,
